地名,センター,燃やせるごみ,燃やせないごみ,資源物,有害ごみ,粗大ごみ
秋元町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
明戸,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
新井,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
石塚,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
伊勢方,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
稲荷町1丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
稲荷町2丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
稲荷町3丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
稲荷町北,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
内ヶ島,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上野台,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
江原,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
大塚,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
大塚島,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
大谷,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
起会,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
折之口,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
柏合,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
樫合,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西1丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西2丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西3丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西4丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西5丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西6丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町西7丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東1丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東2丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東3丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東4丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東5丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東6丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上柴町東7丁目,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上手計,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上増田,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
萱場,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
北阿賀野,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
櫛引,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
国済寺,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
国済寺町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
寿町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
境,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
栄町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
桜ケ丘,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
柴崎,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
下手計,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
宿根,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
上敷免,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
新戒,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
高島,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
高畑,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
田所町,大里広域深谷清掃センター,月 火 水 金,水,木,金3,火
岡部,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
川本,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
花園,大里広域深谷清掃センター,月 火 水 金,金,木,金3,火
